"111","C V","70","L","5","V","CV 70","0.71300","CVA100F","0.04244","CC64","0.04584","CC46","0.07640","B55N","0.02886","HAR","0.01697","AGUA","0.07640","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"112","C N","24","Q/R","6","BAK","CS  24","0.45700","OA  20","0.20270","AR 30/46","0.10000","FLUOR","0.01520","GRAF","0.00500","MAG","0.00330","RESPO","0.14800","RELIQ","0.06800","SIL","0.00080","","0.00000","","0.00000","","0.00000"
"113","OA","24","J K","5","V","MAR20","0.32080","MAR24","0.40170","MAR36","0.08096","AE67","0.09103","B64N","0.04555","HAR","0.01669","AGUA","0.04326","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"114","A","120","/","/","PARA","MAR120","0.71840","CVA100F","0.11650","PARAF","0.16500","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"115","A","60","/","/","PARA","MAR60","0.65420","RR100F","0.18700","PARAF","0.15880","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"116","OA","60","L","5","V","MAR60","0.47400","MAR46","0.18880","MAR80","0.12670","AE67","0.08492","B64N","0.05704","HAR","0.02028","AGUA","0.04816","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"117","C N","24","KL","5","V","CN 14/24","0.37540","CN 36","0.18770","CN 80","0.03962","ARM","0.11470","CZ120","0.06360","A73N","0.10360","B55N","0.05172","AGUA","0.06360","","0.00000","","0.00000","","0.00000","","0.00000"
"118","49A","60","0","5","V","MAR60","0.38240","BCO46","0.28680","BCO120","0.09560","AE67","0.11090","B64N","0.05736","HAR","0.00960","AGUA","0.05736","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"119","99B","60","H","5","V","BCO60","0.68910","BCO46","0.13780","AE67","0.06944","CA55","0.04166","HAR","0.01380","AGUA","0.04814","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"120","C V","36","J","5","V","CV 36","0.38620","CV 70","0.23830","AR36/46","0.07697","AR60","0.07697","A73N","0.08500","B55N","0.03950","HAR","0.01539","AGUA","0.08166","","0.00000","","0.00000","","0.00000","","0.00000"
"121","99B","36","J","5","V","BCO36","0.65930","BCO24","0.16500","AE67","0.07255","CA55","0.04265","HAR","0.02450","AGUA","0.03595","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"122","99R","46","H","5","V","BCO46","0.64740","BCO36","0.16180","B55N","0.10530","OH","0.00049","HAR","0.02430","AGUA","0.06070","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"123","C N","46","L","5","V","CN 46","0.43480","CN 36","0.19320","AR46","0.14490","CC64","0.09660","CC46","0.05800","AGUA","0.07250","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"124","99B","70","L","5","V","BCO60","0.49050","BCO80","0.24530","BCO120","0.05574","AE67","0.09365","CA55","0.05499","HAR","0.01523","AGUA","0.04459","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
