"334","C R","125X50X19","10.00","49","1.080","C-20","27","0","5","2"
"335","R R","450X50X127","10.00","86","19.900","G-250","1","0","0","0"
"336","PAN","200X50X25","10.00","87","0.550","E-100","2840","0","50","10"
"337","R R","300X50X38","10.00","88","8.100","G-160","1","0","0","0"
"338","DCR","300X6X25","10.00","89","1.100","G-160","9","0","0","0"
"339","DCR","200X2X19","10.00","90","0.150","C-60","74","0","0","0"
"340","R c/e","350X50X127","10.00","24","11.800","G-200","2","0","0","0"
"341","DCR","355X8X31.8","10.00","50","1.700","B-220","39","0","0","0"
"342","DCD","178X3X22.2","10.00","58","0.160","E-250","1050","0","0","0"
"343","DCD/CO","115X3X22","10.00","58","0.070","B-180","2460","0","100","50"
"344","DCR/CO","178X1.6X22","10.00","77","0.105","E-250","2000","0","0","0"
"345","D C R","203X6X22","10.00","89","0.390","E-250","82","0","0","0"
"346","PLACA","207X129X11","10.00","51","0.720","E-155","2","0","0","0"
"347","PLACA","207X129X11","10.00","55","0.630","E-150","2","0","0","0"
"348","PAN","150X50X25","10.00","186","0.460","E-75","565","0","30","10"
"349","R R","508X45X203","10.00","91","22.600","B-270","4","0","0","0"
"350","R R","400X45X55","10.00","232","15.000","G-230","6","0","0","0"
"351","R R","330X57X140","10.00","91","13.200","G-200","1","0","0","0"
"352","PLATO","175X13X25","10.00","25","0.850","C-40","6","0","0","0"
"353","DCD","115X.4.8X22","10.00","56","0.080","B-150","6820","0","500","200"
"354","DCD","115X4.8X22","10.00","78","0.050","B-150","6170","0","500","200"
"355","R R","350X38X38","10.00","2","10.400","G-200","17","0","0","0"
"356","C R","150X76X25","10.00","93","2.500","C-30","2","0","0","0"
"357","C R","100X50X19","10.00","93","0.700","C-10","18","0","0","0"
"358","R R","350X38X38","10.00","3","10.400","G-200","7","0","0","0"
"359","R R","100X16X16","10.00","3","0.450","C-10","10","0","0","0"
"360","R R","457X25X152","10.00","141","10.800","G-250","41","0","0","0"
"361","R R","350X38X38","10.00","7","10.400","G-220","2","0","0","0"
"362","R R","508X19X76","10.00","141","12.000","B-250","33","0","0","0"
"363","R R","350X90X100","10.00","7","22.000","G-220","6","0","0","0"
"364","R R","125X19X16","10.00","7","0.700","C-20","22","0","10","5"
"365","R R","100X19X12","10.00","7","0.450","C-10","10","0","10","5"
"366","R R","250X32X32","10.00","7","4.500","G-110","18","0","5","2"
"367","R R","350X38X38","10.00","5","10.400","G-200","6","0","0","0"
"368","R R","150X19X19","10.00","5","1.000","C-30","302","0","10","5"
"369","R R","450X50X50","10.00","5","22.500","G-250","4","0","0","0"
"370","R R","250X32X32","10.00","5","4.600","G-100","123","0","5","2"
"371","R R","75X25X16","10.00","5","0.300","C-6","22","0","0","0"
"372","R R","350X32X100","10.00","79","8.600","G-220","6","0","0","0"
"373","CPL","40X16X10","10.00","94","0.050","D-60","200","0","30","10"
"374","R R","150X19X32","10.00","49","0.950","C-30","2","0","0","0"
"375","R R","300X28X76","10.00","9","5.000","G-160","4","0","0","0"
"376","R R","200X50X100","10.00","9","3.800","C-50","1","0","0","0"
"377","R R","250X10X32","10.00","9","1.450","G-110","10","0","0","0"
"378","Rc/e","25X25X9","10.00","81","0.030","D-30","70","0","0","0"
"379","Rc/e","32X32X9","10.00","9","0.060","D-30","20","0","0","0"
"380","R 2esc","300X50X76","10.00","10","9.300","G-160","5","0","0","0"
"381","R R","200X32X19","10.00","10","2.500","C-50","3","0","0","0"
"382","R R","150X25X19","10.00","174","1.000","C-30","47","0","0","0"
"383","R R","300X25X76","10.00","174","4.000","G-160","7","0","0","0"
"384","R R","200X50X38","10.00","23","3.500","C-50","6","0","0","0"
"385","R R","150X25X19","10.00","17","1.150","C-30","5","0","0","0"
"386","R R","100X25X19","10.00","17","0.500","C-10","5","0","0","0"
"387","Rc/esc","200X60X19","10.00","147","4.000","C-60","2","0","0","0"
"388","R R","200X50X38","10.00","17","4.100","C-50","1","0","0","0"
"389","PAN","200X75X50","10.00","95","1.740","C-55","656","0","20","10"
"390","R /ARR","200X90X75","10.00","48","5.600","E-250","4","0","0","0"
"391","RAESC","200X50X70","10.00","48","3.300","E-250","1","0","0","0"
"392","C R","175X75X73","10.00","96","2.900","C-40","9","0","5","2"
"393","R R","175X19X16","10.00","96","1.250","C-40","4","0","0","0"
"394","R R","250X25X22","10.00","96","3.450","G-110","5","0","0","0"
"395","C R","175X75X73","10.00","170","2.800","C-35","18","0","5","2"
"396","C R","250X76X76","10.00","34","6.200","G-110","1","0","0","0"
"397","C R","125X63X32","10.00","34","1.400","C-20","11","0","5","2"
"398","R R","300X32X76","10.00","98","5.800","G-160","5","0","0","0"
"399","R R","350X38X38","10.00","98","10.200","G-200","1","0","0","0"
"400","R R","350X38X127","10.00","98","8.800","G-200","4","0","0","0"
"401","R R","150X19X19","10.00","33","0.950","C-20","117","0","0","0"
"402","C R","150X76X32","10.00","33","2.500","C-30","2","0","0","0"
"403","C R","150X80X32","10.00","99","2.800","C-30","31","0","0","0"
